date,is_group,group_name,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,away_id,away_score,away_name,away_long_name,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_time_ts,parent_league_id,parent_league_name,internal_rank,live_rank,simple_league,match_tv,home_pen_score,away_pen_score,match_status_awarded,match_status_aggregated_str,matches
2018-09-16,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-17,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-19,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-21,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-22,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-23,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-25,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-26,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-27,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-29,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-30,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-10-01,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-10-05,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-10-06,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-10-07,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
