"player_name","player_dob","player_url","tm_surname","tm_yob"
"Arnel Jakupovic",1998-05-29,"https://www.transfermarkt.com/arnel-jakupovic/profil/spieler/268426","Jakupovic",1998
"Arnold Bouka Moutou",1988-11-28,"https://www.transfermarkt.com/arnold-bouka-moutou/profil/spieler/57358","Moutou",1988
"Arnór Sigurdsson",1999-05-15,"https://www.transfermarkt.com/arnor-sigurdsson/profil/spieler/377665","Sigurdsson",1999
"Aron Gunnarsson",1989-04-22,"https://www.transfermarkt.com/aron-gunnarsson/profil/spieler/63821","Gunnarsson",1989
"Aron Jóhannsson",1990-11-10,"https://www.transfermarkt.com/aron-johannsson/profil/spieler/119169","Jóhannsson",1990
"Arona Sané",1995-06-21,"https://www.transfermarkt.com/arona-sane/profil/spieler/282006","Sané",1995
"Arthur",1996-08-12,"https://www.transfermarkt.com/arthur/profil/spieler/362842","Arthur",1996
"Arthur Desmas",1994-04-07,"https://www.transfermarkt.com/arthur-desmas/profil/spieler/379869","Desmas",1994
"Arthur Masuaku",1993-11-07,"https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380","Masuaku",1993
"Arthur Okonkwo",2001-09-09,"https://www.transfermarkt.com/arthur-okonkwo/profil/spieler/503769","Okonkwo",2001
"Arthur Zagre",2001-10-04,"https://www.transfermarkt.com/arthur-zagre/profil/spieler/536477","Zagre",2001
"Artjoms Rudnevs",1988-01-13,"https://www.transfermarkt.com/artjoms-rudnevs/profil/spieler/103547","Rudnevs",1988
"Arton Zekaj",2000-04-16,"https://www.transfermarkt.com/arton-zekaj/profil/spieler/464990","Zekaj",2000
"Artur Boruc",1980-02-20,"https://www.transfermarkt.com/artur-boruc/profil/spieler/15220","Boruc",1980
"Artur Ionita",1990-08-17,"https://www.transfermarkt.com/artur-ionita/profil/spieler/98888","Ionita",1990
"Arturo Calabresi",1996-03-17,"https://www.transfermarkt.com/arturo-calabresi/profil/spieler/240897","Calabresi",1996
"Arturo Molina",1996-07-18,"https://www.transfermarkt.com/arturo-molina/profil/spieler/337781","Molina",1996
"Arturo Vidal",1987-05-22,"https://www.transfermarkt.com/arturo-vidal/profil/spieler/37666","Vidal",1987
"Ashley Barnes",1989-10-30,"https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200","Barnes",1989
"Ashley Fletcher",1995-10-02,"https://www.transfermarkt.com/ashley-fletcher/profil/spieler/289846","Fletcher",1995
"Ashley Westwood",1990-04-01,"https://www.transfermarkt.com/ashley-westwood/profil/spieler/91317","Westwood",1990
"Ashley Williams",1984-08-23,"https://www.transfermarkt.com/ashley-williams/profil/spieler/67355","Williams",1984
"Ashley Young",1985-07-09,"https://www.transfermarkt.com/ashley-young/profil/spieler/14086","Young",1985
"Asier Córdoba",2000-03-31,"https://www.transfermarkt.com/asier-cordoba/profil/spieler/505512","Córdoba",2000
"Asier Illarramendi",1990-03-08,"https://www.transfermarkt.com/asier-illarramendi/profil/spieler/59344","Illarramendi",1990
"Asier Riesgo",1983-10-06,"https://www.transfermarkt.com/asier-riesgo/profil/spieler/23338","Riesgo",1983
"Asier Villalibre",1997-09-30,"https://www.transfermarkt.com/asier-villalibre/profil/spieler/251897","Villalibre",1997
"Asmir Begovic",1987-06-20,"https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873","Begovic",1987
"Assane Dioussé",1997-09-20,"https://www.transfermarkt.com/assane-diousse/profil/spieler/287635","Dioussé",1997
"Assil Jaziri",1999-08-03,"https://www.transfermarkt.com/assil-jaziri/profil/spieler/633398","Jaziri",1999
"Aster Vranckx",2002-10-04,"https://www.transfermarkt.com/aster-vranckx/profil/spieler/503881","Vranckx",2002
"Aston Oxborough",1998-05-09,"https://www.transfermarkt.com/aston-oxborough/profil/spieler/288948","Oxborough",1998
"Atakan Karazor",1996-10-13,"https://www.transfermarkt.com/atakan-karazor/profil/spieler/232320","Karazor",1996
"Atinc Nukan",1993-07-20,"https://www.transfermarkt.com/atinc-nukan/profil/spieler/149516","Nukan",1993
"Augustas Dubickas",2001-03-17,"https://www.transfermarkt.com/augustas-dubickas/profil/spieler/454667","Dubickas",2001
"Augustinas Klimavicius",2001-04-27,"https://www.transfermarkt.com/augustinas-klimavicius/profil/spieler/467783","Klimavicius",2001
"Augusto Fernández",1986-04-10,"https://www.transfermarkt.com/augusto-fernandez/profil/spieler/39151","Fernández",1986
"Augusto Solari",1992-01-03,"https://www.transfermarkt.com/augusto-solari/profil/spieler/282694","Solari",1992
"Augustus Kargbo",1999-08-24,"https://www.transfermarkt.com/augustus-kargbo/profil/spieler/549791","Kargbo",1999
"Aurelien Chedjou",1985-06-20,"https://www.transfermarkt.com/aurelien-chedjou/profil/spieler/45624","Chedjou",1985
"Aurélien Scheidler",1998-06-04,"https://www.transfermarkt.com/aurelien-scheidler/profil/spieler/497175","Scheidler",1998
"Aurélien Tchouaméni",2000-01-27,"https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112","Tchouaméni",2000
"Austin Samuels",2000-11-20,"https://www.transfermarkt.com/austin-samuels/profil/spieler/392762","Samuels",2000
"Axel Bakayoko",1998-01-06,"https://www.transfermarkt.com/axel-bakayoko/profil/spieler/354898","Bakayoko",1998
"Axel Desjardins",2000-01-13,"https://www.transfermarkt.com/axel-desjardins/profil/spieler/459300","Desjardins",2000
"Axel Disasi",1998-03-11,"https://www.transfermarkt.com/axel-disasi/profil/spieler/386047","Disasi",1998
"Axel Tuanzebe",1997-11-14,"https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046","Tuanzebe",1997
"Axel Werner",1996-02-28,"https://www.transfermarkt.com/axel-werner/profil/spieler/236734","Werner",1996
"Axel Witsel",1989-01-12,"https://www.transfermarkt.com/axel-witsel/profil/spieler/35047","Witsel",1989
"Ayman Azhil",2001-04-10,"https://www.transfermarkt.com/ayman-azhil/profil/spieler/452068","Azhil",2001
"Aymane Mourid",2000-05-07,"https://www.transfermarkt.com/aymane-mourid/profil/spieler/593480","Mourid",2000
"Aymen Abdennour",1989-08-06,"https://www.transfermarkt.com/aymen-abdennour/profil/spieler/108830","Abdennour",1989
"Aymen Barkok",1998-05-21,"https://www.transfermarkt.com/aymen-barkok/profil/spieler/315332","Barkok",1998
"Aymeric Ahmed",2003-11-08,"https://www.transfermarkt.com/aymeric-ahmed/profil/spieler/918157","Ahmed",2003
"Aymeric Laporte",1994-05-27,"https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553","Laporte",1994
"Ayoze Pérez",1993-07-29,"https://www.transfermarkt.com/ayoze-perez/profil/spieler/246968","Pérez",1993
"Aythami Artiles",1986-04-02,"https://www.transfermarkt.com/aythami-artiles/profil/spieler/44735","Artiles",1986
"Azzeddine Toufiqui",1999-04-25,"https://www.transfermarkt.com/azzeddine-toufiqui/profil/spieler/460630","Toufiqui",1999
"Azzedine Ounahi",2000-04-19,"https://www.transfermarkt.com/azzedine-ounahi/profil/spieler/593482","Ounahi",2000
"Ba-Muaka Simakala",1997-01-28,"https://www.transfermarkt.com/ba-muaka-simakala/profil/spieler/227974","Simakala",1997
"Babacar Gueye",1994-12-31,"https://www.transfermarkt.com/babacar-gueye/profil/spieler/342364","Gueye",1994
"Bacary Sagna",1983-02-14,"https://www.transfermarkt.com/bacary-sagna/profil/spieler/26764","Sagna",1983
"Bachibou Koita",1994-04-15,"https://www.transfermarkt.com/bachibou-koita/profil/spieler/315054","Koita",1994
"Badou Ndiaye",1990-10-27,"https://www.transfermarkt.com/badou-ndiaye/profil/spieler/211325","Ndiaye",1990
"Bafodé Diakité",2001-01-06,"https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605","Diakité",2001
"Bailey Peacock-Farrell",1996-10-29,"https://www.transfermarkt.com/bailey-peacock-farrell/profil/spieler/410436","Peacock-Farrell",1996
"Baily Cargill",1995-07-05,"https://www.transfermarkt.com/baily-cargill/profil/spieler/293450","Cargill",1995
"Baissama Sankoh",1992-03-20,"https://www.transfermarkt.com/baissama-sankoh/profil/spieler/171557","Sankoh",1992
"Bakary Koné",1988-04-27,"https://www.transfermarkt.com/bakary-kone/profil/spieler/57186","Koné",1988
"Bakary Sako",1988-04-26,"https://www.transfermarkt.com/bakary-sako/profil/spieler/46791","Sako",1988
"Bakaye Dibassy",1989-08-11,"https://www.transfermarkt.com/bakaye-dibassy/profil/spieler/410059","Dibassy",1989
"Bakery Jatta",1998-06-06,"https://www.transfermarkt.com/bakery-jatta/profil/spieler/415194","Jatta",1998
