"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"SÃ©rie A","Americas","Brazil",2021,"Sociedade Esportiva Palmeiras","Gabriel Menino","Central Midfield",2000-09-29,"Brazil",1.1e+07,"https://www.transfermarkt.com/gabriel-menino/profil/spieler/608216","Menino","2000"
"SÃ©rie A","Americas","Brazil",2021,"Sport Club Internacional","Gabriel Mercado","Centre-Back",1987-03-18,"Argentina",NA,"https://www.transfermarkt.com/gabriel-mercado/profil/spieler/45319","Mercado","1987"
"SÃ©rie A","Americas","Brazil",2019,"Club Athletico Paranaense","Gabriel Mesquita","Goalkeeper",1998-09-14,"Brazil",NA,"https://www.transfermarkt.com/gabriel-mesquita/profil/spieler/645897","Mesquita","1998"
"SÃ©rie A","Americas","Brazil",2021,"São Paulo Futebol Clube","Gabriel Neves","Defensive Midfield",1997-08-11,"Uruguay",1e+06,"https://www.transfermarkt.com/gabriel-neves/profil/spieler/454181","Neves","1997"
"SÃ©rie A","Americas","Brazil",2021,"Clube de Regatas do Flamengo","Gabriel Noga","Centre-Back",2002-01-25,"Brazil",2e+06,"https://www.transfermarkt.com/gabriel-noga/profil/spieler/627215","Noga","2002"
"SÃ©rie A","Americas","Brazil",2021,"Red Bull Bragantino","Gabriel Novaes","Centre-Forward",1999-04-05,"Brazil",1400000,"https://www.transfermarkt.com/gabriel-novaes/profil/spieler/649055","Novaes","1999"
"Liga Portugal","Europe","Portugal",2018,"Boavista FC","Gabriel Nunes","Defensive Midfield",1994-07-11,"Brazil",NA,"https://www.transfermarkt.com/gabriel-nunes/profil/spieler/461258","Nunes","1994"
"Championship",NA,"England",2022,"Luton Town","Gabriel Osho","Centre-Back",1998-08-14,"England",NA,"https://www.transfermarkt.com/gabriel-osho/profil/spieler/364409","Osho","1998"
"SÃ©rie A","Americas","Brazil",2019,"Club de Regatas Vasco da Gama","Gabriel Pec","Right Winger",2001-02-11,"Brazil",NA,"https://www.transfermarkt.com/gabriel-pec/profil/spieler/703321","Pec","2001"
"Liga MX Apertura","Americas","Mexico",2019,"Tiburones Rojos de Veracruz","Gabriel Peñalba","Central Midfield",1984-09-23,"Argentina",NA,"https://www.transfermarkt.com/gabriel-penalba/profil/spieler/30929","Peñalba","1984"
