Player,Born,Url,player_url
Cornell MacDonald,2001,https://fbref.com/en/players/900298b0/Cornell-MacDonald,https://www.transfermarkt.com/kornell-mcdonald/profil/spieler/552614
Cristian Devenish,2001,https://fbref.com/en/players/a3f386fc/Cristian-Devenish,https://www.transfermarkt.com/cristian-castro/profil/spieler/726697
Cristian González Bautista,1998,https://fbref.com/en/players/171ea2fe/Cristian-Gonzalez-Bautista,https://www.transfermarkt.com/cristian-gonzalez/profil/spieler/508256
Cristiano Japa,2000,https://fbref.com/en/players/2c78a740/Cristiano-Japa,https://www.transfermarkt.com/cristiano/profil/spieler/902135
Crysan,1996,https://fbref.com/en/players/70acbadc/Crysan,https://www.transfermarkt.com/cryzan/profil/spieler/373300
Damian Timan,2001,https://fbref.com/en/players/3de99a2a/Damian-Timan,https://www.transfermarkt.com/damian-timan/profil/spieler/412938
Damian van der Haar,,https://fbref.com/en/players/fb0346ad/Damian-van-der-Haar,https://www.transfermarkt.com/damian-van-der-haar/profil/spieler/640558
Dani Bolt,1999,https://fbref.com/en/players/e9d131a1/Dani-Bolt,https://www.transfermarkt.com/daniel/profil/spieler/735790
Daniel,1996,https://fbref.com/en/players/fc2a8364/Daniel,https://www.transfermarkt.com/daniel-dos-anjos/profil/spieler/523364
Daniel Bandeira,2000,https://fbref.com/en/players/56fca564/Daniel-Bandeira,https://www.transfermarkt.com/dani-silva/profil/spieler/372445
Daniel Høegh,1991,https://fbref.com/en/players/01204d46/Daniel-Hoegh,https://www.transfermarkt.com/daniel-hoegh/profil/spieler/99100
Daniel Leite,1998,https://fbref.com/en/players/f7c68686/Daniel-Leite,https://www.transfermarkt.com/dani-figueira/profil/spieler/475407
Daniel Pinedo,2000,https://fbref.com/en/players/30f57b90/Daniel-Pinedo,https://www.transfermarkt.com/daniel-lopez/profil/spieler/828255
Danilo,1997,https://fbref.com/en/players/415a34c5/Danilo,https://www.transfermarkt.com/danilo-cardoso/profil/spieler/870414
Danilo veiga,2002,https://fbref.com/en/players/cc094532/Danilo-veiga,https://www.transfermarkt.com/danilo-veiga/profil/spieler/728485
Danny Loader,2000,https://fbref.com/en/players/e9fda01d/Danny-Loader,https://www.transfermarkt.com/danny-namaso/profil/spieler/392767
Dario Đumić,1992,https://fbref.com/en/players/c575919f/Dario-Djumic,https://www.transfermarkt.com/dario-dumic/profil/spieler/78818
Dauda Mohammed,1998,https://fbref.com/en/players/06fee814/Dauda-Mohammed,https://www.transfermarkt.com/mo-dauda/profil/spieler/360711
David Cabrera Pujol,1989,https://fbref.com/en/players/23f60edd/David-Cabrera-Pujol,https://www.transfermarkt.com/david-cabrera/profil/spieler/58521
David Rodriguez,2002,https://fbref.com/en/players/c9f17934/David-Rodriguez,https://www.transfermarkt.com/david-rodriguez/profil/spieler/627211
Deiner Quiñónez,1995,https://fbref.com/en/players/011b2621/Deiner-Quinonez,https://www.transfermarkt.com/deinner-quinones/profil/spieler/352566
Dejan Stojanović,1993,https://fbref.com/en/players/d00539cf/Dejan-Stojanovic,https://www.transfermarkt.com/dejan-stojanovic/profil/spieler/115989
Delano van Crooy,1991,https://fbref.com/en/players/cbd1cdf2/Delano-van-Crooy,https://www.transfermarkt.com/delano-van-crooij/profil/spieler/159143
Denis Granečný,1998,https://fbref.com/en/players/8bc999b6/Denis-Granecny,https://www.transfermarkt.com/denis-granecny/profil/spieler/293351
Derick,1993,https://fbref.com/en/players/cb1580aa/Derick,https://www.transfermarkt.com/derick-poloni/profil/spieler/429564
Derick Fernando,2002,https://fbref.com/en/players/a19d96f6/Derick-Fernando,https://www.transfermarkt.com/derick/profil/spieler/574764
Deron Payne,2002,https://fbref.com/en/players/1118e3e3/Deron-Payne,https://www.transfermarkt.com/deron-payne/profil/spieler/790411
Diederrick Joel,1993,https://fbref.com/en/players/2986e65c/Diederrick-Joel,https://www.transfermarkt.com/joel-tagueu/profil/spieler/184928
